Organisation,Claim,Remarks
ACF,0,No Claim
ACTED,57110," ACTED has distributed shelter material to over 57,110 people "
Action Aid Nepal,3000," We've already completed about 600 temporary shelters, and we want to build at least another 3,000 more. "
ADRA,29998," 1 month earthquake response infographic, 29988 people "
Al Khair Foundation Leicester,6000," Infographic from Facebook post, Tents and shelter for 1000 people at the initial stage and up to 5000 people at the second stage. "
American Red Cross,290000," More than 58,000 tarps distributed to families in need "
CARE,23000," CARE has provided more than 23,000 people with food, emergency shelter and hygiene items in some of the hardest-hit areas such as Gorkha, Sindhupalchowk and Dhading "
Caritas,100000," Caritas has reached 100,000 people (21,000 households) with aid in the last four weeks, including 2900 households with shelter and food aid in the Kathmandu Valley; 8800 households with plastic sheeting and blankets in Kavre, Okhaldunga, Nuwakot, Rasuwa; and almost 10,000 households with shelter and clean water and sanitation kits in Ghorka. "
CECI,0,No Claim
Christian Aid,0,No Claim
Concern Worldwide,100000," Concern plans to distribute emergency kits to 14,000 families - aiming to reach 100,000 people in the process. As the monsoon approaches, we will move on to help build more durable accommodation to withstand the high winds and heavy rain expected over the next five months. "
CordAid,40000," In this emergency phase, Cordaid and the local Caritas network focus on temporary housing, water and sanitation for 40,000 victims, mainly in rural areas that are hard to reach. "
Danish Church Aid,40000," In the coming months, DanChurchAid and partners in the ACT Alliance will work in four districts close to the epicenter of the first quake. The task is to ensure: Clean water, latrines and hygiene education to 10,300 families; Food for 10,000 families; Temporary shelter (tarpaulins and construction materials, mattresses, blankets and kitchen utensils ) to 8,000 families; Acute crisis counseling to 7,000 hard hit people / families; Cash relief, so that people can buy into - and get the market moving again. "
Finn Aid,0,No Claim
Goal,0,No Claim
Helvetas,56180," So far we were able to distribute tarpaulins to 11,236 households, blankets to 4,183 households, water purifier and hygiene to more than 5,000 households each and seeds (paddy) to more than 4,000 households. "
HFHI,0,No Claim
India,500000," The Government of Sikkim gifted 50,000 tarpaulin sheets worth 25 million Indian Rupees for the earthquake victims to the Government of Nepal on 26th May, 2015. // In response to the request made by the Consulate General of Nepal, the Government of West Bengal has agreed to provide additional 50,000 (fifty thousand) tarpaulins. "
IOM,200000," over 40,000 vulnerable families have benefitted from shelter and NFI kits through IOM's assistance in collaboration with over 30 partners "
Lutheran World Relief,20484," As of May 22, 2015, LWR has distributed in partnership with our long term partner COPPADES, 2,914 food packs containing rice, sugar, lentils, salt, and oil, each pack sufficient for 15 days of consumption for a family of 5, and 4,600 tarpaulins benefiting 3,973 families or 20,484 individuals. "
Medair,15000," Seeing that immediate shelter from the rain and cold was an urgent need, our teams quickly started distributing emergency items - including strong tarpaulins, rope, water treatment tablets, jerry cans, and soap. By the end of May, we had provided items to more than 15,000 isolated people. "
